,DAY,SKU,Location,Alley,AlleyCell,Max,Min,WEEK-1,WEEK-2,WEEK-3,WEEK-4,WEEK-5
0,FRI,2354,A0617402,A06,A0617,80.0,60.0,0.0,1.0,1.0,0.0,0.0
1,FRI,5028,A0703503,A07,A0703,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,FRI,8972,A0527401,A05,A0527,120.0,90.0,1.0,2.0,0.0,1.0,0.0
3,FRI,10116,A0742501,A07,A0742,144.0,108.0,0.0,1.0,0.0,0.0,0.0
4,FRI,11259,A0608303,A06,A0608,200.0,150.0,1.0,3.0,2.0,0.0,0.0
5,FRI,15898,A0529204,A05,A0529,90.0,68.0,1.0,1.0,1.0,0.0,0.0
6,FRI,17769,A0404301,A04,A0404,240.0,180.0,7.0,6.0,1.0,1.0,0.0
7,FRI,18166,A0530102,A05,A0530,48.0,36.0,0.0,0.0,1.0,0.0,0.0
8,FRI,18169,A0616503,A06,A0616,80.0,60.0,1.0,2.0,0.0,0.0,0.0
9,FRI,18849,A0615301,A06,A0615,120.0,90.0,0.0,1.0,2.0,0.0,0.0
10,FRI,22990,A0509202,A05,A0509,120.0,90.0,0.0,0.0,2.0,0.0,0.0
11,FRI,29405,A0605102,A06,A0605,168.0,126.0,0.0,1.0,0.0,0.0,0.0
12,FRI,29409,A0531203,A05,A0531,64.0,48.0,0.0,0.0,1.0,6.0,0.0
13,FRI,30249,A0244102,A02,A0244,120.0,90.0,0.0,0.0,1.0,1.0,0.0
14,FRI,30379,A0503403,A05,A0503,240.0,180.0,0.0,1.0,0.0,0.0,0.0
15,FRI,41192,A0518301,A05,A0518,160.0,120.0,1.0,0.0,0.0,0.0,0.0
16,FRI,41591,A0516501,A05,A0516,200.0,150.0,0.0,2.0,0.0,0.0,0.0
17,FRI,58289,A0746202,A07,A0746,210.0,158.0,3.0,4.0,0.0,0.0,0.0
18,FRI,58291,A0727201,A07,A0727,222.0,167.0,1.0,4.0,1.0,0.0,0.0
19,FRI,58292,A0738503,A07,A0738,120.0,90.0,1.0,6.0,4.0,0.0,0.0
20,FRI,60322,A0615504,A06,A0615,640.0,480.0,0.0,1.0,0.0,0.0,0.0
21,FRI,67719,A0403403,A04,A0403,96.0,72.0,5.0,4.0,1.0,1.0,0.0
22,FRI,67720,A0403302,A04,A0403,80.0,60.0,2.0,1.0,1.0,0.0,0.0
23,FRI,67726,A0401401,A04,A0401,160.0,120.0,0.0,0.0,2.0,0.0,0.0
24,FRI,67828,A0403103,A04,A0403,80.0,60.0,2.0,1.0,2.0,0.0,0.0
25,FRI,74315,A0626502,A06,A0626,96.0,72.0,4.0,6.0,6.0,2.0,0.0
26,FRI,74347,A0642402,A06,A0642,96.0,72.0,0.0,1.0,0.0,0.0,0.0
27,FRI,74349,R0412103,R04,R0412,1973.0,986.0,0.0,0.0,2.0,0.0,0.0
28,FRI,74350,A0628401,A06,A0628,240.0,180.0,0.0,1.0,0.0,0.0,0.0
29,FRI,81960,A0203104,A02,A0203,135.0,101.0,0.0,15.0,1.0,0.0,0.0
30,FRI,82067,A0715504,A07,A0715,144.0,108.0,4.0,4.0,1.0,1.0,0.0
31,FRI,87272,A0524402,A05,A0524,60.0,45.0,6.0,21.0,3.0,0.0,0.0
32,FRI,90996,A0416302,A04,A0416,240.0,180.0,0.0,1.0,0.0,0.0,0.0
33,FRI,118969,A0334205,A03,A0334,144.0,108.0,0.0,0.0,1.0,0.0,0.0
34,FRI,120541,A0244202,A02,A0244,160.0,120.0,2.0,0.0,0.0,0.0,0.0
35,FRI,125497,R0412102,R04,R0412,1440.0,720.0,1.0,5.0,3.0,0.0,0.0
36,FRI,126790,A0207203,A02,A0207,64.0,48.0,0.0,0.0,1.0,0.0,0.0
37,FRI,132374,A0616204,A06,A0616,140.0,105.0,0.0,0.0,1.0,0.0,0.0
38,FRI,135079,A0614404,A06,A0614,90.0,68.0,2.0,0.0,1.0,0.0,0.0
39,FRI,139847,R0413101,R04,R0413,1470.0,735.0,4.0,21.0,3.0,2.0,0.0
40,FRI,139922,A0306505,A03,A0306,320.0,240.0,0.0,0.0,2.0,0.0,0.0
41,FRI,139923,A0424304,A04,A0424,320.0,240.0,0.0,2.0,2.0,0.0,0.0
42,FRI,140882,A0230305,A02,A0230,180.0,135.0,2.0,2.0,2.0,0.0,0.0
43,FRI,141206,A0216103,A02,A0216,112.0,84.0,0.0,1.0,0.0,0.0,0.0
44,FRI,146788,A0205204,A02,A0205,160.0,120.0,1.0,0.0,0.0,0.0,0.0
45,FRI,146925,A0703101,A07,A0703,112.0,84.0,0.0,1.0,0.0,0.0,0.0
46,FRI,147353,A0122103,A01,A0122,192.0,144.0,1.0,0.0,0.0,0.0,0.0
47,FRI,147354,A0122104,A01,A0122,100.0,75.0,1.0,0.0,0.0,0.0,0.0
48,FRI,151903,A0623301,A06,A0623,140.0,105.0,0.0,0.0,1.0,0.0,0.0
49,FRI,151905,A0617404,A06,A0617,288.0,216.0,0.0,0.0,1.0,0.0,0.0
50,FRI,153124,A0246207,A02,A0246,144.0,108.0,1.0,0.0,5.0,0.0,0.0
51,FRI,153416,A0223303,A02,A0223,168.0,126.0,0.0,0.0,1.0,0.0,0.0
52,FRI,163480,A0542202,A05,A0542,80.0,60.0,0.0,0.0,1.0,0.0,0.0
53,FRI,164264,A0840302,A08,A0840,288.0,216.0,2.0,1.0,2.0,1.0,0.0
54,FRI,167719,A0318506,A03,A0318,240.0,180.0,0.0,1.0,2.0,0.0,0.0
55,FRI,167781,A0803303,A08,A0803,180.0,135.0,1.0,1.0,1.0,1.0,0.0
56,FRI,168693,A0103201,A01,A0103,100.0,75.0,0.0,1.0,0.0,1.0,0.0
57,FRI,169033,A0502402,A05,A0502,140.0,105.0,1.0,1.0,0.0,0.0,0.0
58,FRI,172042,A0540201,A05,A0540,77.0,58.0,1.0,0.0,0.0,0.0,0.0
59,FRI,172399,A0722503,A07,A0722,148.0,111.0,0.0,4.0,1.0,0.0,0.0
60,FRI,174087,A0403202,A04,A0403,80.0,60.0,0.0,1.0,1.0,0.0,0.0
61,FRI,180661,A0508504,A05,A0508,180.0,135.0,0.0,0.0,1.0,0.0,0.0
62,FRI,180775,A0531401,A05,A0531,112.0,84.0,0.0,1.0,0.0,0.0,0.0
63,FRI,180776,R0511101,R05,R0511,3130.0,1565.0,1.0,2.0,1.0,0.0,0.0
64,FRI,184714,A0443302,A04,A0443,240.0,180.0,0.0,0.0,1.0,1.0,0.0
65,FRI,186518,A0620202,A06,A0620,60.0,45.0,0.0,0.0,0.0,1.0,0.0
66,FRI,188660,A0328507,A03,A0328,800.0,600.0,3.0,4.0,4.0,2.0,0.0
67,FRI,189313,A0214105,A02,A0214,220.0,165.0,1.0,0.0,0.0,0.0,0.0
68,FRI,191284,A0516302,A05,A0516,270.0,203.0,0.0,0.0,1.0,0.0,0.0
69,FRI,191910,A0908402,A09,A0908,1200.0,900.0,1.0,0.0,0.0,0.0,0.0
70,FRI,191923,A0929203,A09,A0929,1200.0,900.0,0.0,1.0,0.0,1.0,0.0
71,FRI,192928,A0717404,A07,A0717,216.0,162.0,3.0,10.0,2.0,0.0,0.0
72,FRI,193156,A0345502,A03,A0345,100.0,75.0,1.0,0.0,0.0,0.0,0.0
73,FRI,193875,A0524301,A05,A0524,571.0,428.0,3.0,12.0,6.0,1.0,0.0
74,FRI,195878,A0318505,A03,A0318,400.0,300.0,0.0,1.0,0.0,0.0,0.0
75,FRI,196883,A0804201,A08,A0804,300.0,225.0,0.0,0.0,0.0,1.0,0.0
76,FRI,200582,A0401404,A04,A0401,192.0,144.0,1.0,0.0,0.0,0.0,0.0
77,FRI,200729,A0628103,A06,A0628,144.0,108.0,0.0,0.0,2.0,0.0,0.0
78,FRI,201812,A0628301,A06,A0628,224.0,168.0,2.0,1.0,3.0,1.0,0.0
79,FRI,202889,A0914502,A09,A0914,600.0,450.0,2.0,8.0,2.0,2.0,0.0
80,FRI,202891,A1013304,A10,A1013,1170.0,878.0,0.0,2.0,1.0,0.0,0.0
81,FRI,205745,A0225201,A02,A0225,153.0,115.0,0.0,0.0,1.0,0.0,0.0
82,FRI,206888,A0403503,A04,A0403,0.0,0.0,4.0,4.0,2.0,0.0,0.0
83,FRI,208483,A0444101,A04,A0444,96.0,72.0,1.0,1.0,0.0,0.0,0.0
84,FRI,213911,A0728304,A07,A0728,108.0,81.0,1.0,0.0,0.0,0.0,0.0
85,FRI,213915,A0728101,A07,A0728,140.0,105.0,0.0,0.0,1.0,0.0,0.0
86,FRI,215018,A0120101,A01,A0120,88.0,66.0,0.0,1.0,1.0,1.0,0.0
87,FRI,215334,A0746103,A07,A0746,216.0,162.0,9.0,12.0,4.0,2.0,0.0
88,FRI,215338,A0718103,A07,A0718,177.0,133.0,1.0,0.0,0.0,0.0,0.0
89,FRI,215340,A0717501,A07,A0717,144.0,108.0,4.0,4.0,0.0,0.0,0.0
90,FRI,215343,A0503502,A05,A0503,120.0,90.0,0.0,4.0,4.0,0.0,0.0
91,FRI,215439,A0615102,A06,A0615,160.0,120.0,0.0,1.0,0.0,1.0,0.0
92,FRI,215440,A0616202,A06,A0616,0.0,0.0,0.0,2.0,0.0,0.0,0.0
93,FRI,215515,A0529303,A05,A0529,60.0,45.0,5.0,7.0,13.0,1.0,0.0
94,FRI,215596,A0606301,A06,A0606,144.0,108.0,0.0,1.0,1.0,3.0,0.0
95,FRI,215598,A0637504,A06,A0637,200.0,150.0,1.0,2.0,0.0,0.0,0.0
96,FRI,215601,A0629503,A06,A0629,220.0,165.0,0.0,2.0,1.0,0.0,0.0
97,FRI,215647,A0527203,A05,A0527,168.0,126.0,1.0,0.0,0.0,0.0,0.0
98,FRI,216130,A0723203,A07,A0723,0.0,0.0,5.0,3.0,1.0,1.0,0.0
99,FRI,216132,A0633204,A06,A0633,0.0,0.0,5.0,12.0,7.0,1.0,0.0
100,FRI,216141,A0742102,A07,A0742,297.0,223.0,4.0,0.0,3.0,1.0,0.0
101,FRI,216152,A0743302,A07,A0743,80.0,60.0,0.0,0.0,3.0,0.0,0.0
102,FRI,218151,A0516504,A05,A0516,720.0,540.0,0.0,0.0,1.0,0.0,0.0
103,FRI,219012,A0207103,A02,A0207,120.0,90.0,1.0,0.0,0.0,0.0,0.0
104,FRI,219019,A0545303,A05,A0545,140.0,105.0,0.0,1.0,1.0,0.0,0.0
105,FRI,219153,A0606503,A06,A0606,160.0,120.0,0.0,1.0,1.0,0.0,0.0
106,FRI,219195,A0607103,A06,A0607,126.0,95.0,0.0,1.0,0.0,0.0,0.0
107,FRI,219498,A0637302,A06,A0637,116.0,87.0,1.0,3.0,1.0,1.0,0.0
108,FRI,220051,A0103504,A01,A0103,256.0,192.0,0.0,1.0,0.0,0.0,0.0
109,FRI,221755,R0411102,R04,R0411,1798.0,899.0,1.0,0.0,0.0,0.0,0.0
110,FRI,221756,A0101402,A01,A0101,200.0,150.0,0.0,1.0,11.0,1.0,0.0
111,FRI,222299,A0401504,A04,A0401,80.0,60.0,0.0,1.0,0.0,0.0,0.0
112,FRI,223131,A0904303,A09,A0904,800.0,600.0,1.0,1.0,1.0,0.0,0.0
113,FRI,223134,A0914404,A09,A0914,800.0,600.0,0.0,0.0,0.0,1.0,0.0
114,FRI,223437,A0717103,A07,A0717,800.0,600.0,12.0,18.0,9.0,6.0,0.0
115,FRI,230448,A0617204,A06,A0617,160.0,120.0,3.0,1.0,0.0,0.0,0.0
116,FRI,230617,A0904403,A09,A0904,384.0,288.0,0.0,1.0,0.0,0.0,0.0
117,FRI,230946,A1101204,A11,A1101,800.0,600.0,0.0,0.0,1.0,0.0,0.0
118,FRI,231197,A0619503,A06,A0619,96.0,72.0,0.0,3.0,1.0,0.0,0.0
119,FRI,231400,A0904501,A09,A0904,800.0,600.0,1.0,0.0,3.0,0.0,0.0
120,FRI,231645,A0805303,A08,A0805,2400.0,1800.0,2.0,1.0,0.0,0.0,0.0
121,FRI,231647,A0805401,A08,A0805,2880.0,2160.0,1.0,3.0,2.0,1.0,0.0
122,FRI,231943,A1020304,A10,A1020,768.0,576.0,0.0,2.0,0.0,0.0,0.0
123,FRI,233934,A0919202,A09,A0919,312.0,234.0,0.0,0.0,1.0,0.0,0.0
124,FRI,234190,A0408104,A04,A0408,120.0,90.0,0.0,1.0,1.0,0.0,0.0
125,FRI,235222,A0524504,A05,A0524,144.0,108.0,0.0,0.0,1.0,0.0,0.0
126,FRI,235224,A0527201,A05,A0527,144.0,108.0,1.0,0.0,1.0,0.0,0.0
127,FRI,235225,A0505302,A05,A0505,80.0,60.0,1.0,1.0,0.0,0.0,0.0
128,FRI,235226,A0524101,A05,A0524,144.0,108.0,1.0,0.0,1.0,0.0,0.0
129,FRI,235782,A0717402,A07,A0717,160.0,120.0,0.0,3.0,0.0,1.0,0.0
130,FRI,236090,A0806302,A08,A0806,1200.0,900.0,0.0,0.0,1.0,0.0,0.0
131,FRI,236692,A0626102,A06,A0626,280.0,210.0,0.0,1.0,0.0,0.0,0.0
132,FRI,237647,A1007201,A10,A1007,96.0,72.0,0.0,0.0,1.0,0.0,0.0
133,FRI,237659,A1010204,A10,A1010,192.0,144.0,0.0,2.0,0.0,0.0,0.0
134,FRI,237661,A1007304,A10,A1007,173.0,130.0,2.0,2.0,0.0,0.0,0.0
135,FRI,237664,A1006303,A10,A1006,2496.0,1872.0,2.0,3.0,0.0,0.0,0.0
136,FRI,237667,A1001403,A10,A1001,2496.0,1872.0,1.0,4.0,1.0,0.0,0.0
137,FRI,237668,A1006302,A10,A1006,2496.0,1872.0,1.0,3.0,0.0,0.0,0.0
138,FRI,237673,A1016503,A10,A1016,1200.0,900.0,2.0,1.0,1.0,0.0,0.0
139,FRI,237674,A1005402,A10,A1005,2496.0,1872.0,0.0,1.0,2.0,0.0,0.0
140,FRI,237675,A1003402,A10,A1003,800.0,600.0,0.0,6.0,1.0,0.0,0.0
141,FRI,238136,A0807104,A08,A0807,3200.0,2400.0,0.0,2.0,2.0,0.0,0.0
142,FRI,238490,A1031502,A10,A1031,181.0,136.0,10.0,12.0,23.0,15.0,0.0
143,FRI,238768,A0813501,A08,A0813,800.0,600.0,0.0,8.0,13.0,0.0,0.0
144,FRI,239865,A0540203,A05,A0540,216.0,162.0,1.0,0.0,1.0,0.0,0.0
145,FRI,240261,A0724502,A07,A0724,144.0,108.0,0.0,1.0,0.0,0.0,0.0
146,FRI,240821,A0616201,A06,A0616,159.0,119.0,0.0,1.0,0.0,0.0,0.0
147,FRI,242336,A1005503,A10,A1005,96.0,72.0,4.0,2.0,2.0,0.0,0.0
148,FRI,242345,A1007103,A10,A1007,96.0,72.0,0.0,8.0,1.0,0.0,0.0
149,FRI,242347,A1011503,A10,A1011,96.0,72.0,1.0,2.0,1.0,0.0,0.0
150,FRI,242348,A1029101,A10,A1029,96.0,72.0,1.0,6.0,2.0,2.0,0.0
151,FRI,242624,A0445203,A04,A0445,48.0,36.0,0.0,1.0,0.0,0.0,0.0
152,FRI,242625,A0406202,A04,A0406,0.0,0.0,0.0,0.0,1.0,0.0,0.0
153,FRI,242790,A0403504,A04,A0403,144.0,108.0,1.0,1.0,0.0,1.0,0.0
154,FRI,243063,A1006104,A10,A1006,1280.0,960.0,2.0,6.0,2.0,1.0,0.0
155,FRI,243065,A1004504,A10,A1004,1280.0,960.0,0.0,5.0,1.0,0.0,0.0
156,FRI,243069,A1005202,A10,A1005,1600.0,1200.0,1.0,1.0,0.0,0.0,0.0
157,FRI,243074,A1004401,A10,A1004,1200.0,900.0,0.0,4.0,3.0,0.0,0.0
158,FRI,243075,A1001102,A10,A1001,1280.0,960.0,1.0,4.0,1.0,1.0,0.0
159,FRI,244579,A0701104,A07,A0701,800.0,600.0,1.0,2.0,1.0,1.0,0.0
160,FRI,246600,A0621102,A06,A0621,120.0,90.0,0.0,0.0,1.0,0.0,0.0
161,FRI,246602,A0620204,A06,A0620,140.0,105.0,1.0,0.0,0.0,0.0,0.0
162,FRI,248503,A0223503,A02,A0223,80.0,60.0,0.0,1.0,0.0,0.0,0.0
163,FRI,249088,A0739401,A07,A0739,444.0,333.0,1.0,0.0,0.0,0.0,0.0
164,FRI,249290,A0703501,A07,A0703,103.0,77.0,1.0,0.0,0.0,0.0,0.0
165,FRI,251000,A0109403,A01,A0109,96.0,72.0,0.0,0.0,0.0,1.0,0.0
166,FRI,251023,A0543102,A05,A0543,27.0,20.0,1.0,2.0,1.0,1.0,0.0
167,FRI,251033,A0715404,A07,A0715,640.0,480.0,2.0,2.0,0.0,1.0,0.0
168,FRI,251430,A0703104,A07,A0703,800.0,600.0,1.0,1.0,0.0,0.0,0.0
169,FRI,253464,A0507401,A05,A0507,96.0,72.0,0.0,1.0,1.0,1.0,0.0
170,FRI,253469,A0604504,A06,A0604,30.0,23.0,0.0,2.0,0.0,1.0,0.0
171,FRI,253473,A0722502,A07,A0722,192.0,144.0,0.0,0.0,1.0,0.0,0.0
172,FRI,253474,A0719304,A07,A0719,80.0,60.0,0.0,0.0,1.0,0.0,0.0
173,FRI,253482,A0721403,A07,A0721,96.0,72.0,1.0,0.0,0.0,0.0,0.0
174,FRI,253483,A0720304,A07,A0720,347.0,260.0,0.0,1.0,0.0,0.0,0.0
175,FRI,253500,R0501101,R05,R0501,150.0,75.0,74.0,278.0,173.0,30.0,0.0
176,FRI,254222,A0719102,A07,A0719,96.0,72.0,0.0,1.0,1.0,0.0,0.0
177,FRI,254241,A0241204,A02,A0241,80.0,60.0,0.0,1.0,0.0,0.0,0.0
178,FRI,254438,A0720204,A07,A0720,400.0,300.0,0.0,0.0,1.0,0.0,0.0
179,FRI,255047,A0308501,A03,A0308,499.0,374.0,0.0,0.0,1.0,0.0,0.0
180,FRI,255369,A0201102,A02,A0201,120.0,90.0,10.0,2.0,1.0,0.0,0.0
181,FRI,255371,A0222304,A02,A0222,720.0,540.0,2.0,12.0,7.0,3.0,0.0
182,FRI,255832,A0630502,A06,A0630,96.0,72.0,1.0,0.0,0.0,1.0,0.0
183,FRI,255992,A0517201,A05,A0517,200.0,150.0,0.0,2.0,0.0,0.0,0.0
184,FRI,256388,A0407301,A04,A0407,3200.0,2400.0,1.0,0.0,1.0,0.0,0.0
185,FRI,256399,A0922501,A09,A0922,3200.0,2400.0,1.0,0.0,0.0,0.0,0.0
186,FRI,256421,A0915204,A09,A0915,3200.0,2400.0,0.0,0.0,2.0,0.0,0.0
187,FRI,258389,A0521302,A05,A0521,192.0,144.0,0.0,1.0,0.0,0.0,0.0
188,FRI,258495,A0741202,A07,A0741,96.0,72.0,0.0,0.0,2.0,0.0,0.0
189,FRI,258532,A0605202,A06,A0605,80.0,60.0,1.0,0.0,0.0,0.0,0.0
190,FRI,258929,A0321508,A03,A0321,144.0,108.0,1.0,0.0,0.0,1.0,0.0
191,FRI,259765,A0917202,A09,A0917,288.0,216.0,2.0,0.0,1.0,0.0,0.0
192,FRI,259767,A0911101,A09,A0911,336.0,252.0,1.0,3.0,1.0,0.0,0.0
193,FRI,259769,A0911103,A09,A0911,360.0,270.0,1.0,1.0,0.0,0.0,0.0
194,FRI,259790,A0228507,A02,A0228,144.0,108.0,1.0,0.0,0.0,1.0,0.0
195,FRI,260229,A0920303,A09,A0920,360.0,270.0,1.0,2.0,0.0,0.0,0.0
196,FRI,260230,A1010302,A10,A1010,540.0,405.0,0.0,1.0,1.0,0.0,0.0
197,FRI,260231,A0915402,A09,A0915,360.0,270.0,0.0,1.0,0.0,0.0,0.0
198,FRI,260268,A0643403,A06,A0643,144.0,108.0,10.0,17.0,15.0,7.0,0.0
199,FRI,262106,A0212102,A02,A0212,720.0,540.0,0.0,1.0,0.0,0.0,0.0
200,FRI,263349,A0404203,A04,A0404,0.0,0.0,1.0,0.0,0.0,0.0,0.0
201,FRI,263728,A0414401,A04,A0414,800.0,600.0,1.0,0.0,1.0,2.0,0.0
202,FRI,263729,A0416204,A04,A0416,800.0,600.0,0.0,7.0,3.0,2.0,0.0
203,FRI,263731,A0412203,A04,A0412,800.0,600.0,0.0,1.0,6.0,4.0,0.0
204,FRI,263732,A0311302,A03,A0311,800.0,600.0,0.0,13.0,0.0,0.0,0.0
205,FRI,263734,A0411404,A04,A0411,800.0,600.0,2.0,4.0,0.0,3.0,0.0
206,FRI,263735,A0334102,A03,A0334,800.0,600.0,2.0,2.0,0.0,0.0,0.0
207,FRI,263736,A0406401,A04,A0406,800.0,600.0,0.0,0.0,0.0,13.0,0.0
208,FRI,263738,A0412503,A04,A0412,800.0,600.0,10.0,32.0,2.0,10.0,0.0
209,FRI,263927,A0210103,A02,A0210,800.0,600.0,1.0,1.0,0.0,0.0,0.0
210,FRI,263928,A0416404,A04,A0416,800.0,600.0,12.0,25.0,9.0,12.0,0.0
211,FRI,264149,A0911204,A09,A0911,1200.0,900.0,1.0,0.0,0.0,0.0,0.0
212,FRI,264150,A0911301,A09,A0911,1200.0,900.0,0.0,2.0,2.0,0.0,0.0
213,FRI,264151,A0911302,A09,A0911,1200.0,900.0,0.0,1.0,1.0,0.0,0.0
214,FRI,264198,A0412301,A04,A0412,800.0,600.0,1.0,0.0,0.0,0.0,0.0
215,FRI,264319,A0212403,A02,A0212,480.0,360.0,0.0,1.0,0.0,0.0,0.0
216,FRI,264641,A0604203,A06,A0604,145.0,109.0,0.0,0.0,1.0,0.0,0.0
217,FRI,264642,A0734102,A07,A0734,120.0,90.0,0.0,0.0,2.0,1.0,0.0
218,FRI,265122,A0424501,A04,A0424,285.0,214.0,0.0,0.0,0.0,1.0,0.0
219,FRI,265241,A0401101,A04,A0401,160.0,120.0,0.0,1.0,1.0,0.0,0.0
220,FRI,265242,A0401502,A04,A0401,160.0,120.0,8.0,8.0,9.0,1.0,0.0
221,FRI,265243,A0444501,A04,A0444,144.0,108.0,1.0,3.0,1.0,0.0,0.0
222,FRI,265342,A0230504,A02,A0230,240.0,180.0,0.0,4.0,0.0,0.0,0.0
223,FRI,265447,A0207101,A02,A0207,300.0,225.0,2.0,1.0,3.0,1.0,0.0
224,FRI,265448,A0236205,A02,A0236,240.0,180.0,0.0,0.0,1.0,0.0,0.0
225,FRI,265455,A0311104,A03,A0311,256.0,192.0,0.0,10.0,0.0,0.0,0.0
226,FRI,265461,A0311306,A03,A0311,96.0,72.0,0.0,1.0,0.0,0.0,0.0
227,FRI,265463,A0311503,A03,A0311,320.0,240.0,0.0,1.0,0.0,0.0,0.0
228,FRI,265492,A0338201,A03,A0338,292.0,219.0,0.0,0.0,1.0,0.0,0.0
229,FRI,265673,A0644302,A06,A0644,240.0,180.0,0.0,0.0,1.0,0.0,0.0
230,FRI,265676,A0643504,A06,A0643,210.0,158.0,0.0,0.0,1.0,0.0,0.0
231,FRI,265740,A0322505,A03,A0322,320.0,240.0,0.0,1.0,0.0,0.0,0.0
232,FRI,265906,A0208308,A02,A0208,160.0,120.0,0.0,0.0,1.0,0.0,0.0
233,FRI,265908,A0327406,A03,A0327,300.0,225.0,0.0,1.0,0.0,0.0,0.0
234,FRI,266808,A0728302,A07,A0728,162.0,122.0,0.0,1.0,1.0,0.0,0.0
235,FRI,266816,A0727403,A07,A0727,140.0,105.0,0.0,0.0,1.0,0.0,0.0
236,FRI,266817,A0727301,A07,A0727,144.0,108.0,0.0,0.0,0.0,1.0,0.0
237,FRI,267036,A0530401,A05,A0530,150.0,113.0,0.0,1.0,0.0,0.0,0.0
238,FRI,267089,A0624201,A06,A0624,72.0,54.0,2.0,1.0,0.0,0.0,0.0
239,FRI,267173,A0529402,A05,A0529,460.0,345.0,0.0,2.0,0.0,1.0,0.0
240,FRI,267259,A0807504,A08,A0807,400.0,300.0,0.0,0.0,1.0,0.0,0.0
241,FRI,267264,A0808201,A08,A0808,720.0,540.0,0.0,2.0,1.0,0.0,0.0
242,FRI,267266,A0808203,A08,A0808,900.0,675.0,0.0,2.0,1.0,0.0,0.0
243,FRI,267269,A0808302,A08,A0808,200.0,150.0,0.0,0.0,1.0,0.0,0.0
244,FRI,267270,A0808303,A08,A0808,640.0,480.0,0.0,1.0,1.0,0.0,0.0
245,FRI,267272,A0808401,A08,A0808,800.0,600.0,1.0,0.0,0.0,0.0,0.0
246,FRI,267277,A0808502,A08,A0808,1500.0,1125.0,1.0,0.0,0.0,1.0,0.0
247,FRI,267280,A0809101,A08,A0809,3200.0,2400.0,0.0,0.0,0.0,1.0,0.0
248,FRI,267281,A0901302,A09,A0901,1760.0,1320.0,2.0,4.0,4.0,5.0,0.0
249,FRI,267282,A0809103,A08,A0809,2400.0,1800.0,1.0,0.0,0.0,0.0,0.0
250,FRI,267283,A0809104,A08,A0809,2000.0,1500.0,0.0,1.0,0.0,0.0,0.0
251,FRI,267284,A0809201,A08,A0809,1600.0,1200.0,2.0,5.0,2.0,2.0,0.0
252,FRI,267285,A0905103,A09,A0905,2400.0,1800.0,0.0,1.0,0.0,0.0,0.0
253,FRI,267286,A0809203,A08,A0809,1600.0,1200.0,0.0,1.0,0.0,0.0,0.0
254,FRI,267287,A0809204,A08,A0809,2400.0,1800.0,1.0,1.0,0.0,0.0,0.0
255,FRI,267288,A0809301,A08,A0809,400.0,300.0,1.0,0.0,0.0,0.0,0.0
256,FRI,267292,A0809401,A08,A0809,2400.0,1800.0,1.0,0.0,0.0,1.0,0.0
257,FRI,267296,A0809501,A08,A0809,160.0,120.0,3.0,1.0,0.0,0.0,0.0
258,FRI,267297,A0809502,A08,A0809,300.0,225.0,0.0,1.0,1.0,0.0,0.0
259,FRI,267298,A0809503,A08,A0809,2400.0,1800.0,2.0,1.0,3.0,0.0,0.0
260,FRI,267300,A0203503,A02,A0203,160.0,120.0,0.0,1.0,0.0,0.0,0.0
261,FRI,267391,A0725204,A07,A0725,320.0,240.0,1.0,0.0,0.0,0.0,0.0
262,FRI,267721,A0234503,A02,A0234,800.0,600.0,0.0,0.0,1.0,1.0,0.0
263,FRI,267747,A0234308,A02,A0234,480.0,360.0,0.0,1.0,0.0,0.0,0.0
264,FRI,268378,A0414101,A04,A0414,200.0,150.0,4.0,0.0,0.0,0.0,0.0
265,FRI,268736,A0642104,A06,A0642,120.0,90.0,0.0,0.0,1.0,1.0,0.0
266,FRI,268745,A0734101,A07,A0734,320.0,240.0,1.0,0.0,0.0,0.0,0.0
267,FRI,269960,A0108204,A01,A0108,96.0,72.0,0.0,1.0,0.0,0.0,0.0
268,FRI,270197,A0529401,A05,A0529,235.0,176.0,3.0,0.0,2.0,0.0,0.0
269,FRI,270810,A0728102,A07,A0728,320.0,240.0,1.0,0.0,1.0,0.0,0.0
270,FRI,272752,A0403303,A04,A0403,400.0,300.0,0.0,0.0,2.0,0.0,0.0
271,FRI,274013,A0209504,A02,A0209,166.0,125.0,0.0,1.0,0.0,0.0,0.0
272,FRI,274062,A0717201,A07,A0717,240.0,180.0,0.0,3.0,2.0,0.0,0.0
273,FRI,274075,A0617301,A06,A0617,144.0,108.0,0.0,2.0,3.0,1.0,0.0
274,FRI,274076,A0525101,A05,A0525,347.0,260.0,0.0,0.0,1.0,0.0,0.0
275,FRI,274078,A0524501,A05,A0524,60.0,45.0,1.0,1.0,0.0,0.0,0.0
276,FRI,274208,A0718104,A07,A0718,160.0,120.0,0.0,4.0,3.0,0.0,0.0
277,FRI,274209,A0718201,A07,A0718,84.0,63.0,2.0,6.0,5.0,2.0,0.0
278,FRI,274211,A0718402,A07,A0718,120.0,90.0,5.0,16.0,6.0,1.0,0.0
279,FRI,274212,A0715302,A07,A0715,216.0,162.0,3.0,14.0,3.0,2.0,0.0
280,FRI,274765,A0624202,A06,A0624,168.0,126.0,0.0,0.0,1.0,0.0,0.0
281,FRI,274766,A0636303,A06,A0636,126.0,95.0,1.0,1.0,0.0,0.0,0.0
282,FRI,274842,A0736303,A07,A0736,800.0,600.0,0.0,0.0,1.0,1.0,0.0
